Id,Title,Author,ISBN,IsBorrowed,BorrowedBy
1,"Flesh and the Devil","Claudine Hirche","695255409-8",false,null
2,"Slumber Party Massacre, The","Alecia Polycote","057219088-3",false,null
3,"Clonus Horror, The","Demetris McAlester","198033622-9",false,null
4,"O Brother, Where Art Thou?","Kristyn Douch","870122662-2",false,null
5,"Red Lights (Feux rouges)","Therine Mc Grath","687466479-4",false,null
6,"Fury","Lianne Mayhow","327997224-8",false,null
7,"Alone for Christmas","Aksel D'Ambrogi","147671554-8",false,null
8,"Rudy","Toinette Grigor","009053782-3",false,null
9,"Twilight Samurai, The (Tasogare Seibei)","Katy Titcomb","063954948-9",false,null
10,"Neighbors","Maire Rive","839509939-8",false,null
11,"Bête humaine, La","Margarette Beals","286641275-3",false,null
12,"Romeo and Juliet","Arlana Harriott","108479409-8",false,null
13,"Blue Valentine","Caro Derrett","761507515-7",false,null
14,"Music for One Apartment and Six Drummers","Bridget Sinkinson","760023852-7",false,null
15,"Celeste and Jesse Forever (Celeste & Jesse Forever)","Theodosia Ottery","853725553-X",false,null
16,"Before Midnight","Dermot Cotterel","621321019-9",false,null
17,"Solo","Artie MacCafferky","190736999-6",false,null
18,"Valley of Head Hunters","Yorker Filyaev","757057008-1",false,null
19,"She No Longer Talks, She Shoots","Welch Goldberg","556606918-5",false,null
20,"BloodRayne","Andi Lithgow","947110857-8",false,null
21,"Disco Dancer","Isabelita Janway","706987711-0",false,null
22,"Firestarter","Tilda Schirak","702450665-2",false,null
23,"Lisa Picard is Famous (a.k.a. Famous)","Kathye Morphew","066419203-3",false,null
24,"Sunday","Terrel McGlone","855244339-2",false,null
25,"Around the World in 80 Days","Rosalinda Jeppe","694337852-X",false,null
26,"Ronal the Barbarian","Pieter Tesche","175498085-6",false,null
27,"Pianomania","Chloe Eacott","825581127-3",false,null
28,"David Holzman's Diary","Shanda Slinn","688897414-6",false,null
29,"There's Always Tomorrow","Teresita MacGorman","486923723-7",false,null
30,"Night Train","Maximilianus Bernhard","946155190-8",false,null
31,"Adam and Dog","Celene Penni","080293680-6",false,null
32,"Werewolf, The","Tildi O'Nions","524427717-0",false,null
33,"Pure Country","Lynea Barroux","965895175-9",false,null
34,"Manitou, The","Ash Fenech","568687861-7",false,null
35,"Dark Journey","Jannelle Petracci","680987525-5",false,null
36,"Emergo (Apartment 143)","Marlo Eggleson","996833582-7",false,null
37,"Hoffman","Violante Corston","836599539-5",false,null
38,"Without Warning","Elisabeth Truce","506857116-4",false,null
39,"Crossfire","Winona Sousa","400380661-1",false,null
40,"Toy Story of Terror","Lurline Sitlinton","782203582-7",false,null
41,"Come See the Paradise","Katti Tarbath","010883385-2",false,null
42,"Together (Han ni Zai Yiki)","Enrico Knewstub","351893527-5",false,null
43,"Tokyo Chorus (Tôkyô no kôrasu)","Koral Betteriss","647856181-X",false,null
44,"Il cappotto di legno","Bryn Yakushkin","378781277-6",false,null
45,"Sleepwalk with Me","Camellia Yurchishin","317487160-3",false,null
46,"Makai Tensho: Samurai Reincarnation (Makai tenshô)","Kaiser Walling","295259089-3",false,null
47,"Shameless (Maskeblomstfamilien )","Val Imlach","550984259-8",false,null
48,"Shadrach","Serene Truelock","775348639-X",false,null
49,"Idle Hands","Stanly Rix","928044347-X",false,null
50,"Zatoichi's Pilgrimage (Zatôichi umi o wataru) (Zatôichi 14)","Anselm Rookesby","877586804-0",false,null
51,"Breaking the Girls","Auguste Beamand","209842472-8",false,null
52,"Boyfriends and Girlfriends (a.k.a. My Girlfriend's Boyfriend) (L'ami de mon amie)","Maggy Etteridge","852710533-0",false,null
53,"Charlie's Country","Felecia Linggood","622707076-9",false,null
54,"Profession of Arms, The (Il mestiere delle armi)","Matty Bennen","221766643-6",false,null
